UMAP1,UMAP2
15.966972,-3.842109
15.086343,-4.9581857
15.6515875,-5.1517954
14.5190735,-4.7859077
14.480686,-5.497266
15.223896,-5.6672773
16.05452,-5.4728994
14.232103,-6.084333
14.637674,-5.955639
15.947846,-4.5294213
16.318542,-4.701404
13.912001,-5.8160543
16.936852,-4.567401
16.49342,-5.361222
16.817593,-4.9063177
16.877188,-3.6777008
16.532038,-3.4189825
16.556194,-4.1101785
15.4678,-4.253866
17.594185,-2.0506427
17.692053,-1.6288368
17.913345,-2.0584276
18.258226,-1.8150623
18.276396,-2.282041
