UMAP1,UMAP2
15.105009,-6.93246
13.794784,-5.902547
13.663569,-6.4223876
13.575142,-5.515413
12.842114,-6.125867
12.909375,-6.594187
14.325862,-6.6003714
12.236256,-5.452841
12.708385,-5.2273192
14.72996,-6.38936
14.68445,-7.270568
12.796144,-5.5114465
15.145844,-6.1096373
14.2553625,-7.2281637
13.83358,-6.9462466
14.75287,-5.5282984
14.6924,-5.0682287
14.464566,-5.7064953
15.389688,-6.454075
14.242137,-1.0628917
14.622967,-1.3943646
14.5104885,-1.8059602
14.165324,-1.5983869
14.692424,-1.0161837
