UMAP1,UMAP2
-1.126768,11.755515
4.999719,3.645374
9.319349,9.181856
-0.757797,6.503141
0.7745022,7.755027
1.2369444,7.7600536
9.458594,9.323268
8.974459,9.008417
-0.87956345,7.0040083
-0.61928725,7.231255
9.374965,9.146598
9.33953,9.150311
9.380956,9.159177
8.786255,8.818009
9.067683,9.199554
9.202101,9.450691
-0.44012135,8.223067
1.8541342,-1.0577145
-0.36469594,8.114464
-1.255938,11.913115
8.319587,9.170908
-0.549402,8.370737
-0.2311605,8.058133
-1.0970606,11.76059
-0.7735767,7.3204155
8.013995,7.8997107
7.998224,7.8646727
4.7572865,3.6527982
8.938341,9.099263
-1.4942794,11.869738
-0.8849484,7.23722
5.8467283,3.064963
-0.74809986,6.8878236
6.290739,2.8292644
6.5060887,2.6989782
-0.78182644,7.5318227
-0.944208,11.72285
6.595701,2.6351955
-0.40738735,7.628189
-0.53050876,7.3915873
7.197762,2.7216327
7.1130137,2.7803788
6.461697,2.6191897
9.326826,9.126113
9.280789,9.155635
5.0249233,3.5465882
7.86915,8.183893
7.806567,7.563697
-0.49964374,7.1711817
0.94315904,7.671647
1.4963661,7.8712454
-1.1632457,11.734292
-1.2511114,11.698828
-1.1397748,11.717041
6.440254,2.5564837
6.122775,2.8959503
-1.1393182,11.839182
0.33405834,7.190988
0.2114809,6.9627547
0.5417018,7.43791
-0.6583387,6.403668
6.4338894,2.609788
6.523898,2.551329
6.2716317,2.7663958
6.242478,2.8086581
6.510237,2.6178806
6.4154367,2.5527432
6.425031,2.5749142
-0.66338456,6.4070024
0.21226683,5.7029133
-0.74959517,10.413776
-0.18347546,6.6839423
1.6934664,8.246203
-0.8550883,10.983019
-0.94115174,11.3683815
1.604743,8.1660795
0.3976391,7.345121
0.06527661,6.6852074
-0.1818906,7.078137
0.29394493,6.9460707
0.41871548,7.28078
-0.013602239,6.6189
-1.1709424,11.887374
-0.9071164,11.308206
1.6618519,8.198805
9.013347,9.117068
-0.052792896,1.5549397
0.1276386,1.4504521
0.07494324,1.3738822
0.076091796,1.3721489
-0.1959259,1.6760447
-0.14438584,1.6524827
0.03411184,1.4464766
7.3939266,7.920326
7.178545,8.106727
-0.71182483,7.0931187
-1.1465424,11.79976
-1.693952,11.751811
-1.6687549,11.738262
-1.6084528,11.774207
0.962076,6.6373816
1.0210576,6.6745186
0.5117616,7.763988
0.4161588,7.4341836
1.0150282,6.597393
0.8927717,6.487727
0.560374,7.5355363
0.64582425,7.5255284
0.8866683,6.5205026
0.8599152,6.510798
-0.50556314,6.169283
-0.6293554,6.3035913
-0.25717267,2.1647944
-0.22571175,2.2468278
-0.2011546,1.7940476
-0.26174963,1.8554441
-0.23541051,1.8360751
0.6375158,6.109946
0.6646275,6.139201
0.52924365,6.0556917
0.5480923,6.024184
0.46770763,5.994243
0.51860934,6.035995
0.49070513,8.435734
0.5989904,8.330563
0.4992781,8.440802
0.60880756,8.45211
0.97980446,8.287674
0.9505189,8.189803
0.4676972,8.37193
1.0044556,8.32189
0.9421322,8.329552
1.0042293,8.158647
1.0276494,8.596251
1.2703825,8.541786
1.2496924,8.620904
0.9741664,8.447418
1.1273267,8.371616
0.92260855,8.579493
1.349401,8.470214
1.3905646,8.316353
1.4105682,8.214219
-0.5576297,6.3552766
0.55268115,8.411084
6.940513,2.616029
6.7770686,2.6010718
7.186799,8.875786
7.210733,8.790282
7.318739,8.835615
7.2614636,8.824409
7.2815595,8.869503
-0.6667562,7.260242
3.3158152,-2.2903783
3.2531157,-2.2829316
3.1571436,-2.4431338
3.3360615,-2.2005303
3.3018825,-2.2947242
3.2222166,-2.5712261
3.335512,-2.6198442
3.248527,-2.3460834
3.144522,-2.7122467
3.1161957,-2.6880753
-0.7379628,7.292662
0.41299006,7.1363783
0.14362106,6.8225555
-0.9111646,11.335267
6.4579635,2.623581
-1.2035797,11.930889
-0.06111333,1.5453665
0.3495191,8.221304
-1.6760001,11.713256
-1.6872675,11.747446
-0.9750393,12.249023
8.198959,7.4949565
1.0306579,7.6836114
7.191693,8.763395
7.2261825,8.842879
-0.9931627,12.243744
6.187239,2.86666
0.28046954,5.7511764
0.24039078,5.726441
-0.7268948,6.3780937
-1.1047481,12.1060095
7.1287704,2.7596529
1.793452,-1.0032654
1.5782964,8.28
-0.7047536,6.361749
-0.22708778,2.1943638
-0.23748975,2.2592196
-0.24219444,2.5479264
-0.2592795,2.4907634
-0.25923002,2.4934037
1.1285945,-0.33567873
1.1487027,-0.3562093
