TSNE1,TSNE2
12.477706,4.0608773
-4.2058992,-7.7608624
-1.7553694,1.4930815
10.062026,-10.22999
19.057314,-6.8334246
21.39975,-6.8804975
-1.4362571,0.98125565
-3.940737,2.0854275
10.600579,-7.302946
12.428739,-7.0526276
-0.7093888,1.3799498
-0.86977285,1.738096
-0.86981857,1.7386789
-4.382651,2.0824175
-2.0732813,0.8070628
-2.2139637,-0.048416972
11.11915,-1.4995464
-5.118743,-16.524492
11.159365,-1.5568762
11.881103,3.995667
2.516061,0.9926287
10.984161,-0.8350723
11.638265,-2.0811849
11.610312,3.522243
11.883107,-5.992051
-5.0316834,6.991495
-4.4611716,7.863017
23.899996,-6.2964487
-2.9402058,1.9633487
13.564225,3.394511
11.825088,-5.842074
-12.760995,-2.3730009
11.737785,-8.450225
-15.144722,-0.20022261
-14.469151,0.6121209
11.726299,-5.187177
10.854434,3.6547198
-14.592923,0.7417988
9.719828,-5.604127
9.794097,-5.711796
-13.300845,3.48524
-13.069591,3.7333784
-13.407445,-0.1594455
-1.4092277,1.8691047
-1.8380955,1.6275285
-4.2062263,-7.760877
-2.9481006,7.185403
-5.876209,7.798782
13.120631,-7.116859
19.720098,-6.799417
23.87092,-6.3027797
13.010426,4.577062
12.575824,4.8008018
13.545673,4.929883
-13.7353525,-0.31770957
-13.774171,-1.2506237
13.080249,4.31024
17.131908,-9.112198
16.015026,-9.56705
16.904678,-7.506997
12.15417,-10.245327
-13.912376,-0.6670215
-12.824276,-0.6202734
-13.222094,-1.0414625
-13.222468,-1.0414549
-13.734982,-0.31720775
-13.009326,-0.13656816
-13.007022,-0.13505003
10.384919,-10.895974
16.193783,-14.386656
6.568615,4.466016
14.546745,-10.184691
22.26116,-1.0449615
9.021563,4.0347633
15.322265,4.721334
21.747503,-1.0747046
17.458797,-9.296808
15.537232,-10.0321455
14.18958,-7.702428
15.956128,-9.591676
15.225378,-7.791502
14.538685,-8.526064
12.463204,3.4342856
15.36534,4.7176495
21.692293,-1.1226496
-2.8894093,1.4131125
-0.14172442,-20.16015
0.5014932,-20.786251
-0.33963692,-20.794104
0.26613542,-21.094767
0.26914576,-19.981438
0.03779865,-19.61755
0.07687005,-21.031214
-9.174317,7.3725686
-10.293635,7.082762
12.025709,-7.972855
12.015226,3.1929212
13.030864,2.8293028
13.030865,2.8293037
13.310026,3.2706401
20.05905,-9.9184675
20.082825,-9.7971325
17.87285,-6.4443765
17.42992,-8.626609
20.19321,-9.785308
19.847597,-10.278342
17.57532,-7.0169425
17.62914,-7.1309514
19.763628,-10.735138
19.67819,-10.827659
11.142353,-10.837201
11.199438,-10.77654
2.0203407,-18.792654
2.7343812,-18.551298
1.1166966,-19.74732
1.1190296,-19.752115
0.9633347,-19.534405
18.679699,-12.33121
18.853144,-12.063977
18.046272,-12.469536
18.387623,-12.835569
17.876366,-12.915212
17.881512,-12.930664
17.01888,-4.1150513
17.857246,-4.45963
17.580238,-3.9356897
17.8832,-4.5676556
19.591978,-4.781378
19.853317,-5.193414
17.484655,-4.756064
20.301617,-4.690523
19.346249,-4.6693606
19.853146,-5.193178
18.70628,-3.2394059
18.874895,-2.2292283
18.874868,-2.2288666
18.856642,-3.8898132
19.77012,-3.7473414
18.679253,-4.208718
19.343681,-2.294983
20.759588,-3.285633
20.899145,-3.4012527
12.014047,-10.245278
17.913881,-4.6680717
-14.139879,2.3247736
-14.096105,2.2710023
-6.628177,1.0148058
-6.264182,1.4073148
-6.5753922,1.5964723
-6.3920455,1.3756965
-6.332821,1.3656449
12.538626,-6.98942
-7.2586284,-21.96607
-7.377004,-21.45657
-8.233474,-21.64576
-7.5152454,-20.39488
-7.5153093,-20.395327
-8.555939,-20.821617
-8.555812,-20.821854
-7.775255,-20.826302
-8.240344,-19.99981
-8.859026,-20.396694
11.433509,-6.843679
14.652775,-11.956099
14.641063,-11.93414
15.548098,4.7207694
-14.273778,-0.19392188
11.813573,4.44581
-0.3402184,-20.07754
16.408268,-5.2991705
13.750004,1.6761364
13.453966,2.4240773
10.910423,6.802358
-6.7435155,4.4500337
19.957792,-7.1928368
-7.625484,1.3639665
-7.2634144,1.3365712
11.432268,6.111698
-13.77417,-1.2506242
16.171858,-14.717693
16.20317,-14.407384
10.444823,-10.655869
11.725009,5.7144175
-13.070412,3.7332618
-4.641637,-17.755083
21.51435,-1.8652214
11.029603,-10.533191
1.8732108,-18.355726
2.6796193,-18.59099
3.7137535,-17.956863
3.7167416,-17.960552
3.6049387,-18.036432
-0.580805,-22.651741
-1.2035856,-22.106855
-1.267696,-22.407478
-0.8272953,-22.788969
-1.1718447,-22.551517
0.022817217,-21.527939
-0.29407296,-22.287561
-0.7606812,-21.921677
1.8945408,-20.823181
1.8311164,-21.16636
20.759699,-2.3960729
20.699657,-2.3258805
17.227978,-5.713307
18.638239,-4.5319777
-0.38732344,-20.807262
