PDB_ID,Ligand_ID,Ligand_Name,Formula,Molecular_Weight,InChIKey,SMILES,SMILES_NoH,UniProtID,QueryGene,NR_Family,Chemical_Family,__SMILES__,RDKit_K10
1A52,EST,ESTRADIOL,C18 H24 O2,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,CC12CCC3c4ccc(cc4CCC3C1CCC2O)O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,P03372,ESR1,Steroid,Steroids,CC12CCC3c4ccc(cc4CCC3C1CCC2O)O,5
1A52,AU,GOLD ION,Au,196.967,ZBKIUFWVEIBQRT-UHFFFAOYSA-N,[Au+],[Au+],P03372,ESR1,Steroid,Steroids,[Au+],8
1ERR,RAL,RALOXIFENE,C28 H27 N O4 S,473.583,GZUITABIAKMVPG-UHFFFAOYSA-N,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,P03372,ESR1,Steroid,Steroids,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O,1
1GWQ,ZTW,RALOXIFENE CORE,C14 H10 O2 S,242.293,MDGWZLQPNOETLH-UHFFFAOYSA-N,c1cc(ccc1c2cc3ccc(cc3s2)O)O,Oc1ccc(-c2cc3ccc(O)cc3s2)cc1,P03372,ESR1,Steroid,Steroids,c1cc(ccc1c2cc3ccc(cc3s2)O)O,4
1L2I,ETC,"(R,R)-5,11-CIS-DIETHYL-5,6,11,12-TETRAHYDROCHRYSENE-2,8-DIOL",C22 H24 O2,320.425,MASYAWHPJCQLSW-ZIAGYGMSSA-N,CCC1Cc2cc(ccc2C3=C1c4ccc(cc4CC3CC)O)O,CCC1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1CC2CC,P03372,ESR1,Steroid,Steroids,CCC1Cc2cc(ccc2C3=C1c4ccc(cc4CC3CC)O)O,4
1R5K,GW5,"(2E)-3-{4-[(1E)-1,2-DIPHENYLBUT-1-ENYL]PHENYL}ACRYLIC ACID",C25 H22 O2,354.441,HJQQVNIORAQATK-DDJBQNAASA-N,CCC(=C(c1ccccc1)c2ccc(cc2)C=CC(=O)O)c3ccccc3,CCC(=C(c1ccccc1)c1ccc(C=CC(=O)O)cc1)c1ccccc1,P03372,ESR1,Steroid,Fatty acids,CCC(=C(c1ccccc1)c2ccc(cc2)C=CC(=O)O)c3ccccc3,6
1SJ0,E4D,"(2S,3R)-2-(4-(2-(PIPERIDIN-1-YL)ETHOXY)PHENYL)-2,3-DIHYDRO-3-(4-HYDROXYPHENYL)BENZO[B][1,4]OXATHIIN-6-OL",C27 H29 N O4 S,463.588,TWZNCTCQAGRUGQ-RRPNLBNLSA-N,c1cc(ccc1C2C(Oc3ccc(cc3S2)O)c4ccc(cc4)OCCN5CCCCC5)O,Oc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,P03372,ESR1,Steroid,Steroids,c1cc(ccc1C2C(Oc3ccc(cc3S2)O)c4ccc(cc4)OCCN5CCCCC5)O,1
1UOM,PTI,"2-PHENYL-1-[4-(2-PIPERIDIN-1-YL-ETHOXY)-PHENYL]-1,2,3,4-TETRAHYDRO-ISOQUINOLIN-6-OL",C28 H32 N2 O2,428.566,FMWVCTJKLAVRPB-MUUNZHRXSA-N,c1ccc(cc1)N2CCc3cc(ccc3C2c4ccc(cc4)OCCN5CCCCC5)O,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,P03372,ESR1,Steroid,Steroids,c1ccc(cc1)N2CCc3cc(ccc3C2c4ccc(cc4)OCCN5CCCCC5)O,0
1X7E,244,[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE,C16 H11 N O3,265.263,ZKJVCUXZMYKTLT-UHFFFAOYSA-N,c1cc(ccc1c2cc3cc(cc(c3o2)CC#N)O)O,N#CCc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,P03372,ESR1,Steroid,Steroids,c1cc(ccc1c2cc3cc(cc(c3o2)CC#N)O)O,4
1X7R,GEN,GENISTEIN,C15 H10 O5,270.237,TZBJGXHYKVUXJN-UHFFFAOYSA-N,c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,P03372,ESR1,Steroid,Steroids,c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O,4
