TSNE1,TSNE2
-10.385407,-0.1362509
-13.841313,-1.3799844
6.179758,4.2182155
12.21716,18.004808
6.4584937,17.25939
-2.3733516,9.8334055
5.161892,0.22785644
1.4635457,-2.4943976
13.932527,18.211424
15.230253,16.479319
5.268619,0.49775115
5.9465876,-0.31302154
5.9465404,-0.31286985
1.6647396,-3.0691562
3.883483,0.05737656
3.9971175,-0.4614718
9.816551,-0.75239706
7.2622514,3.351347
9.813663,-0.45178226
-11.5237255,2.4324129
-3.026244,12.207273
9.675389,-1.0283608
9.831164,0.25221458
-11.489913,-1.244491
-2.6294944,3.7663286
7.5922275,-4.0372877
7.641319,-4.1151752
-8.225451,-15.809867
1.0004462,-1.1793897
-8.831125,1.7589753
-2.8430724,4.1981654
3.401386,15.177326
-2.0547888,3.5659873
9.056281,14.690868
5.988041,14.139196
-3.1116676,3.495849
-8.617499,-1.5150994
6.011588,14.180941
18.91294,9.44277
18.89584,9.470865
12.395471,6.993411
12.404597,6.7438498
8.669733,12.316564
5.8400936,4.3734164
6.137292,4.2968287
-11.070151,20.603666
-9.541988,2.6045632
-10.994861,-13.6352
7.9316444,6.2400584
-1.5535955,13.344745
-8.222056,-15.81438
-11.167872,0.86777973
-10.76253,1.3312562
-11.165922,0.062258326
10.045806,13.005429
9.300658,12.260573
-10.591326,0.092889674
2.2828548,17.331102
2.0650098,17.648378
-2.6534984,20.906128
15.258931,18.276604
10.355076,11.499514
8.836997,12.921235
9.677359,12.669577
10.795382,11.4102
10.724091,12.065499
8.783883,11.832167
9.62394,11.041782
6.8467145,18.040777
13.777078,22.153791
2.284328,-17.950472
-17.58252,-2.0869927
0.82193446,11.337257
2.464256,11.177497
13.685159,1.2510428
1.1830814,11.916372
2.1349986,16.972128
3.3790736,17.768946
3.312094,21.227852
-7.748389,12.433945
10.491033,23.145903
10.570723,23.158506
-14.442484,3.9805956
13.706839,1.4963863
1.3395545,12.008001
6.7800064,2.81145
26.917515,8.569419
25.45712,8.626759
24.200552,9.4445505
24.695469,9.92306
25.907318,8.408022
25.56109,8.104762
25.04626,10.488443
0.14546604,-9.149774
-0.9826071,-11.481614
6.08563,8.593115
-14.440906,3.080219
-15.388335,3.197642
-15.593849,3.3400147
-14.644857,2.9108186
-2.1890733,15.279211
-2.2035222,15.140346
-0.63127106,17.13228
0.3415505,17.30391
-2.5157366,15.027407
-1.5604311,16.618782
-2.1337159,18.634153
-1.6663241,19.305105
-1.8297402,16.863737
-2.2504885,17.771246
6.779589,18.79551
6.9745,18.851131
8.719538,18.056076
8.442218,18.690086
20.798151,14.119858
20.892,14.106233
21.261616,14.0103855
0.3782049,21.330864
-0.12701455,20.609137
0.58924466,20.859814
1.2715323,21.547218
