TSNE1,TSNE2
-131.13333,325.13235
-234.32793,31.22058
-157.83847,73.27713
-192.41994,1.1593921
-83.950516,-41.857586
-111.253,-3.4928627
-199.69142,109.27833
3.3445857,-237.60829
-47.903828,-206.31194
66.811295,-179.43904
125.15361,-133.90129
-205.90752,-79.87982
-8.1581335,-98.29189
-133.69807,159.30666
55.7102,352.24808
-58.435165,307.08704
-65.986336,353.08755
2.5814357,345.15942
102.84951,-219.60843
-177.64755,-305.71982
-107.62862,-330.33127
-113.0001,-264.62332
-47.28248,-344.29733
-57.782036,-286.58298
