TSNE1,TSNE2
24.274458,167.2665
507.0262,133.12067
206.89606,10.860673
578.2756,114.79327
635.30927,-153.99295
603.97485,-84.96868
130.11154,-15.4215555
472.1538,-229.89716
370.949,-158.63756
-117.66965,-59.464367
-16.329376,-45.661304
440.12888,-124.188034
-29.498283,37.234837
78.0786,-150.38432
-127.93484,101.7033
-258.7347,-319.85107
-210.28996,-375.01486
-173.1941,-224.65517
-204.75977,-36.79809
-685.39575,327.233
-578.0674,359.2487
-512.69165,425.23404
-577.6808,500.63022
-648.4757,439.63184
