UMAP1,UMAP2
1.1871749,9.474463
9.220942,5.490159
7.1005096,10.360195
0.60874385,5.1344
2.8075573,5.9162226
3.2018206,6.0087485
6.9991865,10.468548
7.1727324,9.923159
0.8749035,5.564445
1.1191099,5.634218
7.1761246,10.409672
7.1618958,10.316953
7.2700224,10.531183
7.348315,9.762904
7.008215,10.422528
6.8483925,10.429793
1.6648531,6.800914
5.4933095,-0.4578221
1.7121396,6.7057424
1.2889574,9.452978
6.732282,9.60287
1.5201197,7.1331444
1.9766463,6.4334183
1.3775965,9.582508
0.9933373,5.7299843
7.874295,8.53309
7.6819506,8.611053
9.165035,5.4691
7.1171784,10.110882
0.83395416,9.5399475
0.98541456,5.7728076
9.788491,6.1539907
0.97993755,5.3349357
10.28769,6.6957664
10.334542,6.787176
1.0125396,5.9368277
1.6906912,9.232013
10.3709135,6.766965
1.5127404,6.085364
1.3309455,5.8597574
10.61801,7.12207
10.535544,7.2160745
10.212497,6.619834
7.1116176,10.441469
6.9969773,10.409522
9.318428,5.517513
7.727729,8.723715
8.101638,8.175357
1.2379005,5.550913
2.9903855,5.962113
3.585485,6.2437906
1.1186522,9.35907
1.2602024,9.342594
1.2421908,9.422461
10.160453,6.571415
9.963283,6.4013867
1.1899234,9.375308
2.466133,5.60544
2.2474108,5.420364
2.4071598,5.642938
0.8268642,5.062018
10.087746,6.5030174
10.126952,6.5545044
10.038323,6.4584804
9.967763,6.3846335
10.114754,6.5222425
10.021105,6.4363127
10.103925,6.5211143
0.57969534,5.0285783
2.0980444,4.060793
1.380984,8.235078
1.7128319,5.2462263
3.688598,6.662782
1.4071934,8.679674
1.3646123,8.993903
3.7108932,6.624154
2.607016,5.7182717
1.9055408,5.191586
1.5889077,5.362772
2.1924508,5.374092
2.191608,5.553376
1.8292961,5.1125693
1.1239479,9.53586
1.3800329,9.012793
3.675044,6.62162
7.140667,10.138042
-0.50806904,0.8407859
-0.75505483,0.9071857
-0.7676979,0.8748995
-0.6239536,0.87914914
-0.38908064,0.9970143
-0.4788587,0.95444316
-0.6922863,0.8156981
8.570857,8.641915
8.621451,8.850048
1.1851128,5.559339
1.2803441,9.657611
0.7053375,9.493004
0.6827579,9.481386
0.71610534,9.5345125
2.961761,4.9954906
2.9888747,5.064576
2.5606139,6.0577536
2.497133,5.7655034
3.014242,5.1105266
3.0266173,5.057899
2.5128975,5.829683
2.5424147,5.8300953
2.8045034,4.8469896
2.8160317,4.830032
0.7152748,4.9137444
0.7081102,4.963367
-0.524391,1.5368077
