UMAP1,UMAP2
11.315935,0.65444034
4.258483,0.612746
15.128533,3.623451
15.284024,3.4893615
17.908974,7.590792
12.424643,9.725969
16.605742,5.3705144
13.768426,5.1075883
16.23132,3.4975824
16.58778,3.6195333
16.639555,5.391504
16.635206,5.3618417
16.644356,5.350691
14.197981,5.011435
17.745264,4.513136
17.619255,4.4690256
16.489079,2.1531053
15.55564,3.7473001
16.478916,2.195686
11.142867,0.59284776
12.386593,9.677703
16.44424,1.9471225
16.542797,2.109601
11.375708,0.8526676
17.586912,4.348873
15.4293,4.374555
15.366999,4.3713694
10.393673,-3.7727199
11.764047,6.3788304
11.407262,0.83293027
17.640762,4.4212236
15.820436,4.1369667
17.584888,4.352231
-1.0788192,12.243652
16.033522,4.24498
17.550642,4.3376465
11.192973,0.64425695
15.947414,4.4385824
17.67537,6.828033
17.766222,6.9434934
15.566012,4.6119556
15.521401,4.6664386
-1.1500922,12.314921
15.201058,3.6354027
15.149014,3.5630333
4.2569184,0.6129563
15.523581,3.9959483
15.949804,4.168872
15.637273,3.4394736
12.334396,9.706573
10.46766,-3.890247
11.193409,0.42971814
11.266732,0.4552018
11.139898,0.6456387
-1.0729918,12.238312
-1.1233616,12.288254
11.315866,0.6535749
11.538891,7.029018
11.527242,6.9944572
10.316831,9.954943
15.982581,3.2372365
-0.9819058,12.147028
-1.0703408,12.235258
-1.1261132,12.290998
-0.96110517,12.126525
-0.86972606,12.034915
-1.0937494,12.259001
-0.9589251,12.124408
15.296858,3.1006935
15.619098,2.8126621
19.011866,-2.2265432
16.322157,3.9542441
16.938774,2.066902
16.626432,2.1243777
16.92858,2.3054276
16.838829,1.9176247
11.720317,1.3191755
11.405526,6.9830422
12.083849,8.151927
11.462838,7.2441273
12.194095,9.732417
12.186592,9.71726
11.490457,1.1143169
16.961323,2.3351295
16.854116,1.9646027
15.462025,4.379251
18.269524,7.589339
18.329548,7.6258903
18.328215,7.5435104
18.298841,7.5192895
18.306215,7.533781
18.266983,7.3875933
18.262503,7.592701
15.057937,4.7146435
15.078488,4.6905327
16.152662,3.9287446
11.469692,1.0907142
11.458219,1.0859668
11.340698,1.0026966
11.368499,0.9889873
12.361333,9.408249
12.328245,9.419152
12.138806,9.666362
12.142721,9.620059
12.354741,9.333296
12.310871,9.433108
11.933433,9.554243
12.093727,9.672325
12.403565,9.357331
12.283336,9.341008
15.368709,3.141697
15.285452,3.0973916
18.141197,6.6406217
18.112892,6.747563
16.64365,4.237192
16.643269,4.29997
16.751297,4.372966
12.110326,8.353102
12.14143,8.27894
12.121688,8.188996
12.139714,8.191606
12.09905,8.162157
12.163238,8.199548
11.471709,6.883658
9.677967,10.112887
9.665837,10.206251
9.648045,10.070881
9.786416,10.346354
9.782717,10.263826
9.4952755,10.491075
9.824726,10.310131
9.821224,10.226857
9.930568,10.405463
9.755344,10.313834
9.996189,10.3576
9.883801,10.251427
9.419381,10.600697
9.558157,10.49442
9.493739,10.554935
9.949229,10.337533
9.978178,10.323833
9.870657,10.2447605
15.758843,3.068479
9.902085,10.374638
16.25906,3.7987647
16.435665,3.7790987
12.412807,5.333565
12.472848,5.277225
12.50603,5.238423
12.473783,5.263469
12.535355,5.2033567
16.566734,3.6203787
17.365835,2.8798208
17.304707,2.9062946
17.411438,2.7887971
17.284807,2.9452739
17.355778,3.0280104
17.43716,2.9203975
17.406324,2.8675156
17.301502,2.9259353
16.636547,2.869925
16.667757,2.8116894
16.59049,3.6529903
10.142045,10.022447
11.509465,7.1448545
16.940905,2.382592
-1.1772374,12.342037
11.242303,0.6897248
18.145285,7.556782
12.420063,9.614112
17.820786,7.2488585
17.723448,7.205867
11.303226,0.30212936
16.463934,3.2752368
12.357522,9.708692
14.137234,4.9404488
14.111682,4.9570293
11.295161,0.26258323
-0.90845376,12.073506
15.417886,2.7676308
15.411348,2.7306638
15.361401,3.1123245
11.362436,0.5864922
15.553704,4.7340827
18.32315,7.145617
17.623064,4.701414
15.970084,3.1172254
12.531067,9.7753935
18.154947,6.7797937
16.304184,4.6890426
16.31697,4.567019
16.416077,4.5805235
18.070478,7.180535
18.15421,7.230513
18.137848,7.1330013
17.873886,7.3512254
