pdb,radius,compactness,openness,n_pocket_res,PC1,PC2,PC3
1a52.pdb,6.47310209274292,1.396726369857788,7.692232131958008,16,-0.046394570821876945,-0.28816414911868576,0.575373495725622
1ere.pdb,6.422775745391846,1.3837802410125732,7.9182047843933105,13,-0.06030958795985048,0.61838850350533,0.0032019796951366338
1err.pdb,6.572323799133301,1.444419503211975,7.95550012588501,17,0.06670122114372093,0.9297866840061635,0.24154711181452518
1g50.pdb,5.366662502288818,1.718701958656311,7.761850357055664,12,-2.4186848766198668,-0.3959046347649586,-0.5735652276326816
1gwq.pdb,6.601375579833984,1.449113368988037,7.989288330078125,16,0.10994380157103464,1.0952070404229046,0.21927526426790617
1gwr.pdb,6.3760833740234375,1.4372037649154663,7.820945739746094,13,-0.2559107982903723,0.23034549113809166,0.23643243068227474
1hcp.pdb,5.880929470062256,1.2752206325531006,7.446572303771973,14,-0.7972680607289186,-1.8195949571339993,0.0462060459542083
1hcq.pdb,6.162342071533203,1.1182382106781006,7.740365982055664,3,0.008362318815732656,-0.5530412515359328,-0.45223404413019946
1l2i.pdb,6.389896869659424,1.369849681854248,7.968987941741943,13,-0.07636360491833992,0.7976633937606749,-0.1751215095967733
1pcg.pdb,6.227447032928467,1.3352643251419067,7.644520759582519,12,-0.32658996580786953,-0.7059287032669854,0.2217968174522269
1qkt.pdb,6.787694454193115,0.5506279468536377,7.316622734069824,7,2.0276687107478204,-2.4814438916291714,0.33737602589723376
1qku.pdb,5.535716533660889,1.727747082710266,7.862179756164551,13,-2.1490850970184976,0.14375144327820713,-0.5312229167738737
1r5k.pdb,6.075490951538086,1.6526422500610352,7.932450771331787,10,-1.131901697125069,0.7139950900201596,-0.04821697989287651
1sj0.pdb,6.909276008605957,1.039473533630371,7.852402687072754,9,1.369785882717989,0.32255861297280275,0.22877329886983655
1uom.pdb,6.712094783782959,1.0076717138290403,7.6619462966918945,9,1.0832357871287508,-0.6364848632995447,0.2977376376467151
1x7e.pdb,6.34325647354126,1.4007025957107544,7.843311309814453,14,-0.23324469703276465,0.268302360981005,0.07892258467040614
1x7r.pdb,6.800235271453857,0.7843559980392456,7.594467639923096,7,1.6445293398037186,-1.0788106483585158,0.17511651400765452
1xp1.pdb,6.896402359008789,1.0251749753952026,7.972157478332519,9,1.398792527754133,0.8046936495453051,-0.06794022678331196
1xp6.pdb,6.9917097091674805,1.0358880758285522,7.996363639831543,10,1.5340171386675117,0.9781174865410047,0.03424064278609048
1xp9.pdb,6.931061267852783,1.0150595903396606,7.862447261810303,9,1.4536395702335265,0.35534829668140505,0.19565618955689693
1xpc.pdb,6.923352718353272,1.048861742019653,7.924454212188721,9,1.38704322696273,0.6439638272778017,0.11252408669546603
1xqc.pdb,6.031900882720947,1.17692232131958,7.633638381958008,6,-0.33239598181877844,-1.0296720525887704,-0.3081468854385871
1yim.pdb,6.933759689331055,1.0066314935684204,7.841344356536865,9,1.470455216373496,0.26013081190636267,0.2294272347127461
1yin.pdb,6.863547325134277,1.0359052419662476,7.836270332336426,9,1.3010344298612109,0.22184051780033207,0.1920580774001203
1zky.pdb,6.089410305023193,0.9342224597930908,7.925216674804687,10,0.28296805446632073,0.0012859766024163651,-1.268107605345992
2ayr.pdb,6.732163906097412,0.8516069054603577,7.794900894165039,7,1.4421320264064708,-0.21401597775891465,-0.22798419159966146
2b1v.pdb,6.102017402648926,0.7612557411193848,7.407196998596191,9,0.5446076030951771,-2.3378574061740656,-0.4556779340816937
2b1z.pdb,6.062249183654785,0.8096593022346497,7.510143280029297,8,0.40610919521973265,-1.8834320266241213,-0.6452970601256811
2b23.pdb,6.960175514221191,1.2699276208877563,7.988039970397949,8,1.0282041956252668,1.1479928863936293,0.41609237781694447
2bj4.pdb,5.743592739105225,1.684640645980835,7.79363489151001,11,-1.747188256269809,-0.052783836869732245,-0.16756480631946466
2fai.pdb,6.182127475738525,0.8091861009597778,7.596055507659912,8,0.6133308155824724,-1.4452116244474857,-0.6585667704526064
2g44.pdb,6.262190818786621,0.8692836165428162,7.597667694091797,10,0.6243761338909737,-1.329184385958703,-0.44383703488643667
2g5o.pdb,5.98872709274292,0.7689129710197449,7.3492536544799805,9,0.3390039695663132,-2.6471878122374726,-0.47976245008860835
2iog.pdb,6.77816915512085,0.6701402068138123,7.662574768066406,8,1.8434177054124847,-0.9161432769342993,-0.19977160512654393
2iok.pdb,6.378015995025635,1.3748141527175903,7.9821391105651855,14,-0.10250970563673724,0.8501748733148877,-0.21108675127963245
2jf9.pdb,6.362056255340576,1.1486101150512695,7.943868160247803,11,0.30408500114872833,0.4611751727560956,-0.5477358507696828
2jfa.pdb,5.801715850830078,1.572359561920166,7.789160251617432,12,-1.4376634692240104,-0.14231859700333424,-0.27205856844602644
2llo.pdb,5.245247840881348,1.7715924978256226,7.715555667877197,10,-2.722870051224573,-0.6178936878528136,-0.5547855181838085
2llq.pdb,5.213973522186279,1.6487879753112793,7.898722648620605,9,-2.50107577408812,0.014990885096955377,-1.2012925994777934
2ocf.pdb,7.013059616088867,0.8040517568588257,7.96457576751709,9,2.0120712423715075,0.6349541097650974,-0.27323523305430686
2ouz.pdb,6.838110446929932,1.0449590682983398,7.881011009216309,9,1.2511229093465195,0.40256987137804573,0.07719415551065546
2p15.pdb,6.278143405914307,1.3578318357467651,7.600196361541748,12,-0.29777808373500964,-0.8382598626756901,0.4267173605098739
