pdb,radius,compactness,openness,n_pocket_res
1a52.pdb,6.47310209274292,1.396726369857788,7.692232131958008,16
1ere.pdb,6.422775745391846,1.3837802410125732,7.9182047843933105,13
1err.pdb,6.572323799133301,1.444419503211975,7.95550012588501,17
1g50.pdb,5.366662502288818,1.718701958656311,7.761850357055664,12
1gwq.pdb,6.601375579833984,1.449113368988037,7.989288330078125,16
1gwr.pdb,6.3760833740234375,1.4372037649154663,7.820945739746094,13
1hcp.pdb,5.880929470062256,1.2752206325531006,7.446572303771973,14
1hcq.pdb,6.162342071533203,1.1182382106781006,7.740365982055664,3
1l2i.pdb,6.389896869659424,1.369849681854248,7.968987941741943,13
1pcg.pdb,6.227447032928467,1.3352643251419067,7.6445207595825195,12
1qkt.pdb,6.787694454193115,0.5506279468536377,7.316622734069824,7
1qku.pdb,5.535716533660889,1.7277470827102661,7.862179756164551,13
1r5k.pdb,6.075490951538086,1.6526422500610352,7.932450771331787,10
1sj0.pdb,6.909276008605957,1.039473533630371,7.852402687072754,9
1uom.pdb,6.712094783782959,1.0076717138290405,7.6619462966918945,9
1x7e.pdb,6.34325647354126,1.4007025957107544,7.843311309814453,14
1x7r.pdb,6.800235271453857,0.7843559980392456,7.594467639923096,7
1xp1.pdb,6.896402359008789,1.0251749753952026,7.9721574783325195,9
1xp6.pdb,6.9917097091674805,1.0358880758285522,7.996363639831543,10
1xp9.pdb,6.931061267852783,1.0150595903396606,7.862447261810303,9
1xpc.pdb,6.9233527183532715,1.0488617420196533,7.924454212188721,9
1xqc.pdb,6.031900882720947,1.17692232131958,7.633638381958008,6
1yim.pdb,6.933759689331055,1.0066314935684204,7.841344356536865,9
1yin.pdb,6.863547325134277,1.0359052419662476,7.836270332336426,9
1zky.pdb,6.089410305023193,0.9342224597930908,7.9252166748046875,10
2ayr.pdb,6.732163906097412,0.8516069054603577,7.794900894165039,7
2b1v.pdb,6.102017402648926,0.7612557411193848,7.407196998596191,9
2b1z.pdb,6.062249183654785,0.8096593022346497,7.510143280029297,8
2b23.pdb,6.960175514221191,1.2699276208877563,7.988039970397949,8
2bj4.pdb,5.743592739105225,1.684640645980835,7.79363489151001,11
2fai.pdb,6.182127475738525,0.8091861009597778,7.596055507659912,8
2g44.pdb,6.262190818786621,0.8692836165428162,7.597667694091797,10
2g5o.pdb,5.98872709274292,0.7689129710197449,7.3492536544799805,9
2iog.pdb,6.77816915512085,0.6701402068138123,7.662574768066406,8
2iok.pdb,6.378015995025635,1.3748141527175903,7.9821391105651855,14
2jf9.pdb,6.362056255340576,1.1486101150512695,7.943868160247803,11
2jfa.pdb,5.801715850830078,1.572359561920166,7.789160251617432,12
2llo.pdb,5.245247840881348,1.7715924978256226,7.715555667877197,10
