id,pdb1l2j.pdb,pdb1nde.pdb,pdb1qkm.pdb,pdb1u3q.pdb,pdb1u3r.pdb,pdb1u3s.pdb,pdb1u9e.pdb,pdb1x76.pdb,pdb1x78.pdb,pdb1x7b.pdb,pdb1x7j.pdb,pdb1yy4.pdb,pdb1yye.pdb,pdb1zaf.pdb,pdb2fsz.pdb,pdb2giu.pdb,pdb2i0g.pdb,pdb2jj3.pdb,pdb2nv7.pdb,pdb2qtu.pdb,pdb2yjd.pdb,pdb2yly.pdb,pdb2z4b.pdb,pdb3oll.pdb,pdb3ols.pdb,pdb3omo.pdb,pdb3omp.pdb,pdb3omq.pdb,pdb4j24.pdb,pdb4j26.pdb,pdb4zi1.pdb,pdb5toa.pdb,pdb7xvy.pdb,pdb7xvz.pdb,pdb7xwp.pdb,pdb7xwq.pdb,pdb7xwr.pdb
pdb1l2j.pdb,0.000000,0.201031,,,0.120769,0.109108,,0.110371,0.113700,0.117318,0.110161,0.113744,0.117811,0.117867,,,,,0.116496,,0.107796,,,0.093023,0.098729,0.096585,0.097561,0.096774,0.106747,0.095284,0.115314,,,,,,
pdb1nde.pdb,0.201031,0.000000,,,0.163158,0.134503,,0.132948,0.162304,0.162304,0.127907,0.132948,0.163158,0.163158,,,,,0.167539,,0.107784,,,0.143750,0.134146,0.128834,0.128834,0.134146,0.137255,0.143646,0.164894,,,,,,
pdb1qkm.pdb,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdb1u3q.pdb,,,,0.000000,,,0.043519,,,,,,,,0.089041,,0.097276,0.106017,,0.089655,,0.103416,0.098058,,,,,,,,,0.091328,0.056919,0.044359,0.050584,0.055447,0.055019
pdb1u3r.pdb,0.120769,0.163158,,,0.000000,0.020000,,0.033238,0.025376,0.024459,0.023832,0.029468,0.027154,0.039548,,,,,0.031865,,0.063507,,,0.085149,0.076046,0.081209,0.073124,0.070476,0.072206,0.071631,0.076357,,,,,,
pdb1u3s.pdb,0.109108,0.134503,,,0.020000,0.000000,,0.034318,0.026794,0.029608,0.026769,0.034286,0.030447,0.033654,,,,,0.029608,,0.060115,,,0.078078,0.071565,0.076777,0.070476,0.065966,0.064193,0.065903,0.065094,,,,,,
pdb1u9e.pdb,,,,0.043519,,,0.000000,,,,,,,,0.081792,,0.084813,0.098470,,0.084729,,0.105714,0.093204,,,,,,,,,0.085478,0.055391,0.046557,0.054475,0.056530,0.050388
pdb1x76.pdb,0.110371,0.132948,,,0.033238,0.034318,,0.000000,0.021113,0.029608,0.024880,0.030534,0.030447,0.032692,,,,,0.031489,,0.057307,,,0.076690,0.060635,0.065966,0.063279,0.060577,0.059296,0.060577,0.061611,,,,,,
pdb1x78.pdb,0.113700,0.162304,,,0.025376,0.026794,,0.021113,0.000000,0.021739,0.021093,0.017291,0.022599,0.029412,,,,,0.029190,,0.061010,,,0.079158,0.069923,0.075167,0.072519,0.068008,0.066733,0.069458,0.075926,,,,,,
pdb1x7b.pdb,0.117318,0.162304,,,0.024459,0.029608,,0.029608,0.021739,0.000000,0.018234,0.023923,0.019811,0.028490,,,,,0.024551,,0.058206,,,0.076152,0.063401,0.070543,0.067878,0.065197,0.067662,0.070342,0.071495,,,,,,
pdb1x7j.pdb,0.110161,0.127907,,,0.023832,0.026769,,0.024880,0.021093,0.018234,0.000000,0.026743,0.017225,0.035475,,,,,0.023923,,0.064639,,,0.078471,0.068900,0.075973,0.071497,0.066986,0.064064,0.066986,0.062441,,,,,,
